Dataset Name,Algorithm Name,Cross Validation,Hyper-Parameters Values,Accuracy,TPR,FPR,Precision,AUC,PR-Curve,Training Time,Inference Time,Unnamed: 12,Unnamed: 13,Unnamed: 14
acute-inflammation,FastForest,4,"{'n_estimators': 15, 'min_samples_leaf': 1, 'max_depth': 3}",1.0,1.0,0.0,1.0,1.0,1.0,0.11,0.25,,,
acute-inflammation,RandomForest,4,"{'n_estimators': 15, 'min_samples_leaf': 1, 'max_features': 'auto', 'max_depth': 3, 'bootstrap': False}",0.75,0.75,0.25,0.7571,0.75,0.7,0.03,0.17,,,
acute-inflammation,FastForest,5,"{'n_estimators': 40, 'min_samples_leaf': 1, 'max_depth': 3}",1.0,1.0,0.0,1.0,1.0,1.0,0.29,0.58,,,
acute-inflammation,RandomForest,5,"{'n_estimators': 40, 'min_samples_leaf': 1, 'max_features': 'auto', 'max_depth': 3, 'bootstrap': True}",0.3333,0.3333,0.6667,0.3333,0.4722,0.4444,0.12,0.33,,,
acute-inflammation,FastForest,6,"{'n_estimators': 5, 'min_samples_leaf': 1, 'max_depth': 3}",1.0,1.0,0.0,1.0,1.0,1.0,0.04,0.08,,,
acute-inflammation,RandomForest,6,"{'n_estimators': 15, 'min_samples_leaf': 1, 'max_features': 'auto', 'max_depth': 3, 'bootstrap': False}",0.75,0.75,0.25,0.7571,0.75,0.6786,0.03,0.17,,,
acute-inflammation,FastForest,7,"{'n_estimators': 5, 'min_samples_leaf': 1, 'max_depth': 3}",1.0,1.0,0.0,1.0,1.0,1.0,0.04,0.08,,,
acute-inflammation,RandomForest,7,"{'n_estimators': 5, 'min_samples_leaf': 3, 'max_features': 'auto', 'max_depth': 3, 'bootstrap': True}",0.8333,0.8333,0.1667,0.875,0.75,0.8333,0.01,0.0,,,
acute-inflammation,FastForest,8,"{'n_estimators': 15, 'min_samples_leaf': 1, 'max_depth': 3}",1.0,1.0,0.0,1.0,1.0,1.0,0.11,0.25,,,
acute-inflammation,RandomForest,8,"{'n_estimators': 15, 'min_samples_leaf': 1, 'max_features': 'auto', 'max_depth': 3, 'bootstrap': False}",0.5833,0.5833,0.4167,0.5857,0.5417,0.55,0.02,0.08,,,
acute-inflammation,FastForest,9,"{'n_estimators': 5, 'min_samples_leaf': 1, 'max_depth': 3}",1.0,1.0,0.0,1.0,1.0,1.0,0.04,0.17,,,
acute-inflammation,RandomForest,9,"{'n_estimators': 40, 'min_samples_leaf': 3, 'max_features': 'auto', 'max_depth': 3, 'bootstrap': False}",0.5833,0.5833,0.4167,0.5857,0.6944,0.55,0.09,0.33,,,
acute-inflammation,FastForest,10,"{'n_estimators': 15, 'min_samples_leaf': 1, 'max_depth': 3}",1.0,1.0,0.0,1.0,1.0,1.0,0.11,0.25,,,
acute-inflammation,RandomForest,10,"{'n_estimators': 5, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 3, 'bootstrap': True}",0.5833,0.5833,0.4167,0.6111,0.6528,0.5556,0.03,0.08,,,
acute-nephritis,FastForest,1,"{'n_estimators': 40, 'min_samples_leaf': 3, 'max_depth': 3}",1.0,1.0,0.0,1.0,1.0,1.0,0.3,0.67,,,
acute-nephritis,RandomForest,1,"{'n_estimators': 15, 'min_samples_leaf': 1, 'max_features': 'auto', 'max_depth': 3, 'bootstrap': False}",1.0,1.0,0.0,1.0,1.0,1.0,0.06,0.17,,,
acute-nephritis,FastForest,2,"{'n_estimators': 15, 'min_samples_leaf': 1, 'max_depth': 3}",1.0,1.0,0.0,1.0,1.0,1.0,0.11,0.25,,,
acute-nephritis,RandomForest,2,"{'n_estimators': 15, 'min_samples_leaf': 1, 'max_features': 'auto', 'max_depth': 3, 'bootstrap': False}",0.8333,0.8571,0.1429,0.8809999999999999,0.7571,0.7143,0.05,0.17,,,
acute-nephritis,FastForest,3,"{'n_estimators': 5, 'min_samples_leaf': 3, 'max_depth': 6}",1.0,1.0,0.0,1.0,1.0,1.0,0.04,0.17,,,
acute-nephritis,RandomForest,3,"{'n_estimators': 15, 'min_samples_leaf': 1, 'max_features': 'auto', 'max_depth': 3, 'bootstrap': False}",0.6667,0.7143,0.2857,0.8148,0.8429,0.5556,0.06,0.08,,,
acute-nephritis,FastForest,4,"{'n_estimators': 5, 'min_samples_leaf': 1, 'max_depth': 3}",1.0,1.0,0.0,1.0,1.0,1.0,0.04,0.08,,,
acute-nephritis,RandomForest,4,"{'n_estimators': 40, 'min_samples_leaf': 1, 'max_features': 'auto', 'max_depth': 3, 'bootstrap': True}",1.0,1.0,0.0,1.0,1.0,1.0,0.13,0.33,,,
acute-nephritis,FastForest,5,"{'n_estimators': 15, 'min_samples_leaf': 1, 'max_depth': 6}",1.0,1.0,0.0,1.0,1.0,1.0,0.13,0.25,,,
acute-nephritis,RandomForest,5,"{'n_estimators': 40, 'min_samples_leaf': 3, 'max_features': 'auto', 'max_depth': 3, 'bootstrap': False}",0.8333,0.8571,0.1429,0.8809999999999999,0.7429,0.7143,0.12,0.33,,,
acute-nephritis,FastForest,6,"{'n_estimators': 5, 'min_samples_leaf': 3, 'max_depth': 6}",1.0,1.0,0.0,1.0,1.0,1.0,0.04,0.08,,,
acute-nephritis,RandomForest,6,"{'n_estimators': 5, 'min_samples_leaf': 3, 'max_features': 'auto', 'max_depth': 3, 'bootstrap': True}",0.9167,0.9286,0.0714,0.9306,0.8857,0.8333,0.01,0.08,,,
acute-nephritis,FastForest,7,"{'n_estimators': 5, 'min_samples_leaf': 3, 'max_depth': 12}",1.0,1.0,0.0,1.0,1.0,1.0,0.05,0.08,,,
acute-nephritis,RandomForest,7,"{'n_estimators': 5, 'min_samples_leaf': 3, 'max_features': 'auto', 'max_depth': 12, 'bootstrap': False}",0.8333,0.8571,0.1429,0.8809999999999999,0.8571,0.7143,0.02,0.08,,,
acute-nephritis,FastForest,8,"{'n_estimators': 15, 'min_samples_leaf': 3, 'max_depth': 3}",1.0,1.0,0.0,1.0,1.0,1.0,0.11,0.25,,,
acute-nephritis,RandomForest,8,"{'n_estimators': 5, 'min_samples_leaf': 1, 'max_features': 'auto', 'max_depth': 6, 'bootstrap': False}",1.0,1.0,0.0,1.0,1.0,1.0,0.01,0.08,,,
acute-nephritis,FastForest,9,"{'n_estimators': 15, 'min_samples_leaf': 1, 'max_depth': 6}",1.0,1.0,0.0,1.0,1.0,1.0,0.13,0.17,,,
acute-nephritis,RandomForest,9,"{'n_estimators': 15, 'min_samples_leaf': 1, 'max_features': 'auto', 'max_depth': 3, 'bootstrap': False}",0.75,0.7857,0.2143,0.8438,0.8714,0.625,0.05,0.17,,,
acute-nephritis,FastForest,10,"{'n_estimators': 5, 'min_samples_leaf': 3, 'max_depth': 6}",1.0,1.0,0.0,1.0,1.0,1.0,0.04,0.08,,,
acute-nephritis,RandomForest,10,"{'n_estimators': 40, 'min_samples_leaf': 3, 'max_features': 'auto', 'max_depth': 3, 'bootstrap': False}",0.9167,0.9286,0.0714,0.9306,0.9143,0.8333,0.15,0.33,,,
analcatdata_asbestos,FastForest,1,"{'n_estimators': 40, 'min_samples_leaf': 3, 'max_depth': 12}",0.8889,0.9,0.1,0.9111,0.95,0.8,0.45,1.0,,,
analcatdata_asbestos,RandomForest,1,"{'n_estimators': 5, 'min_samples_leaf': 1, 'max_features': 'auto', 'max_depth': 3, 'bootstrap': False}",0.7778,0.8,0.2,0.8519,0.8,0.6667,0.01,0.11,,,
analcatdata_asbestos,FastForest,2,"{'n_estimators': 15, 'min_samples_leaf': 1, 'max_depth': 3}",0.8889,0.875,0.125,0.9074,0.85,0.8611,0.1,0.33,,,
analcatdata_asbestos,RandomForest,2,"{'n_estimators': 15, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 12, 'bootstrap': False}",0.6667,0.65,0.35,0.6667,0.725,0.5556,0.17,0.33,,,
analcatdata_asbestos,FastForest,3,"{'n_estimators': 5, 'min_samples_leaf': 3, 'max_depth': 3}",1.0,1.0,0.0,1.0,1.0,1.0,0.03,0.11,,,
analcatdata_asbestos,RandomForest,3,"{'n_estimators': 5, 'min_samples_leaf': 3, 'max_features': 'sqrt', 'max_depth': 3, 'bootstrap': True}",0.7778,0.75,0.25,0.8413,0.75,0.7222,0.06,0.11,,,
analcatdata_asbestos,FastForest,4,"{'n_estimators': 15, 'min_samples_leaf': 3, 'max_depth': 12}",0.5,0.5,0.5,0.5,0.625,0.5,0.16,0.38,,,
analcatdata_asbestos,RandomForest,4,"{'n_estimators': 40, 'min_samples_leaf': 3, 'max_features': 'sqrt', 'max_depth': 12, 'bootstrap': False}",0.375,0.375,0.625,0.3667,0.3125,0.45,0.4,0.62,,,
analcatdata_asbestos,FastForest,5,"{'n_estimators': 5, 'min_samples_leaf': 3, 'max_depth': 3}",0.625,0.625,0.375,0.6333,0.625,0.5833,0.03,0.12,,,
analcatdata_asbestos,RandomForest,5,"{'n_estimators': 40, 'min_samples_leaf': 3, 'max_features': 'auto', 'max_depth': 3, 'bootstrap': False}",0.375,0.375,0.625,0.2143,0.5,0.5,0.15,0.37,,,
analcatdata_asbestos,FastForest,6,"{'n_estimators': 5, 'min_samples_leaf': 3, 'max_depth': 12}",0.75,0.75,0.25,0.75,0.8438,0.6875,0.06,0.25,,,
analcatdata_asbestos,RandomForest,6,"{'n_estimators': 5, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 12, 'bootstrap': True}",0.5,0.5,0.5,0.5,0.5938,0.5,0.04,0.13,,,
analcatdata_asbestos,FastForest,7,"{'n_estimators': 5, 'min_samples_leaf': 3, 'max_depth': 6}",0.375,0.375,0.625,0.2143,0.375,0.4464,0.05,0.12,,,
analcatdata_asbestos,RandomForest,7,"{'n_estimators': 40, 'min_samples_leaf': 3, 'max_features': 'auto', 'max_depth': 3, 'bootstrap': False}",0.75,0.75,0.25,0.75,0.7812,0.6875,0.1,0.37,,,
analcatdata_asbestos,FastForest,8,"{'n_estimators': 5, 'min_samples_leaf': 3, 'max_depth': 12}",0.875,0.9,0.1,0.9062,0.9333,0.75,0.06,0.13,,,
analcatdata_asbestos,RandomForest,8,"{'n_estimators': 40, 'min_samples_leaf': 3, 'max_features': 'auto', 'max_depth': 3, 'bootstrap': False}",0.625,0.5667,0.4333,0.6042,0.7667,0.4167,0.11,0.5,,,
analcatdata_asbestos,FastForest,9,"{'n_estimators': 15, 'min_samples_leaf': 3, 'max_depth': 3}",0.75,0.8,0.2,0.85,0.9333,0.6,0.1,0.25,,,
analcatdata_asbestos,RandomForest,9,"{'n_estimators': 15, 'min_samples_leaf': 3, 'max_features': 'auto', 'max_depth': 3, 'bootstrap': True}",0.75,0.7333,0.2667,0.75,0.8,0.5694,0.03,0.25,,,
analcatdata_asbestos,FastForest,10,"{'n_estimators': 40, 'min_samples_leaf': 3, 'max_depth': 6}",1.0,1.0,0.0,1.0,1.0,1.0,0.41,0.88,,,
analcatdata_asbestos,RandomForest,10,"{'n_estimators': 5, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 3, 'bootstrap': True}",0.375,0.4333,0.5667,0.4375,0.5667,0.3472,0.03,0.12,,,
analcatdata_boxing1,FastForest,1,"{'n_estimators': 5, 'min_samples_leaf': 1, 'max_depth': 3}",0.5833,0.625,0.375,0.6762,0.7656,0.7333,0.05,0.08,,,
analcatdata_boxing1,RandomForest,1,"{'n_estimators': 15, 'min_samples_leaf': 3, 'max_features': 'sqrt', 'max_depth': 12, 'bootstrap': False}",0.6667,0.5,0.5,0.4444,0.6562,0.6667,0.02,0.17,,,
analcatdata_boxing1,FastForest,2,"{'n_estimators': 5, 'min_samples_leaf': 1, 'max_depth': 3}",0.5833,0.5,0.5,0.5556,0.5938,0.6667,0.05,0.17,,,
analcatdata_boxing1,RandomForest,2,"{'n_estimators': 5, 'min_samples_leaf': 3, 'max_features': 'sqrt', 'max_depth': 12, 'bootstrap': False}",0.6667,0.5,0.5,0.4444,0.5625,0.6667,0.01,0.08,,,
analcatdata_boxing1,FastForest,3,"{'n_estimators': 5, 'min_samples_leaf': 1, 'max_depth': 3}",0.5833,0.5625,0.4375,0.6095,0.5938,0.6964,0.05,0.17,,,
analcatdata_boxing1,RandomForest,3,"{'n_estimators': 5, 'min_samples_leaf': 3, 'max_features': 'auto', 'max_depth': 12, 'bootstrap': True}",0.6667,0.5,0.5,0.4444,0.5,0.6667,0.01,0.08,,,
analcatdata_boxing1,FastForest,4,"{'n_estimators': 5, 'min_samples_leaf': 1, 'max_depth': 12}",0.8333,0.75,0.25,0.8667,0.8125,0.8,0.11,0.17,,,
analcatdata_boxing1,RandomForest,4,"{'n_estimators': 15, 'min_samples_leaf': 1, 'max_features': 'auto', 'max_depth': 3, 'bootstrap': False}",0.6667,0.5,0.5,0.4444,0.6875,0.6667,0.02,0.17,,,
analcatdata_boxing1,FastForest,5,"{'n_estimators': 5, 'min_samples_leaf': 1, 'max_depth': 12}",0.75,0.625,0.375,0.8182,1.0,0.7273,0.11,0.17,,,
analcatdata_boxing1,RandomForest,5,"{'n_estimators': 15, 'min_samples_leaf': 1, 'max_features': 'auto', 'max_depth': 3, 'bootstrap': False}",0.6667,0.5,0.5,0.4444,0.5938,0.6667,0.03,0.08,,,
analcatdata_boxing1,FastForest,6,"{'n_estimators': 15, 'min_samples_leaf': 1, 'max_depth': 3}",0.5,0.375,0.625,0.4,0.6719,0.6167,0.16,0.25,,,
analcatdata_boxing1,RandomForest,6,"{'n_estimators': 15, 'min_samples_leaf': 1, 'max_features': 'auto', 'max_depth': 3, 'bootstrap': False}",0.6667,0.5,0.5,0.4444,0.7188,0.6667,0.02,0.17,,,
analcatdata_boxing1,FastForest,7,"{'n_estimators': 5, 'min_samples_leaf': 1, 'max_depth': 12}",0.75,0.8125,0.1875,0.8571,0.9062,0.875,0.1,0.17,,,
analcatdata_boxing1,RandomForest,7,"{'n_estimators': 15, 'min_samples_leaf': 1, 'max_features': 'auto', 'max_depth': 3, 'bootstrap': False}",0.6667,0.5,0.5,0.4444,0.5625,0.6667,0.02,0.17,,,
analcatdata_boxing1,FastForest,8,"{'n_estimators': 5, 'min_samples_leaf': 1, 'max_depth': 6}",0.8333,0.75,0.25,0.8667,0.7656,0.8,0.09,0.17,,,
analcatdata_boxing1,RandomForest,8,"{'n_estimators': 15, 'min_samples_leaf': 1, 'max_features': 'auto', 'max_depth': 3, 'bootstrap': False}",0.6667,0.5,0.5,0.4444,0.625,0.6667,0.02,0.17,,,
analcatdata_boxing1,FastForest,9,"{'n_estimators': 15, 'min_samples_leaf': 1, 'max_depth': 12}",0.75,0.7571,0.2429,0.7639,0.8,0.7619,0.33,0.33,,,
analcatdata_boxing1,RandomForest,9,"{'n_estimators': 5, 'min_samples_leaf': 1, 'max_features': 'auto', 'max_depth': 12, 'bootstrap': True}",0.5833,0.5,0.5,0.3403,0.5714,0.5833,0.01,0.08,,,
analcatdata_boxing1,FastForest,10,"{'n_estimators': 5, 'min_samples_leaf': 3, 'max_depth': 3}",0.6667,0.6,0.4,0.7879,0.9143,0.6364,0.05,0.17,,,
analcatdata_boxing1,RandomForest,10,"{'n_estimators': 5, 'min_samples_leaf': 3, 'max_features': 'sqrt', 'max_depth': 6, 'bootstrap': True}",0.5833,0.5,0.5,0.3403,0.7143,0.5833,0.01,0.08,,,
analcatdata_broadwaymult,FastForest,1,"{'n_estimators': 40, 'min_samples_leaf': 1, 'max_depth': 12}",0.6207,0.3333,0.1277,0.3876,0.8422,,1.27,0.86,,,
analcatdata_broadwaymult,RandomForest,1,"{'n_estimators': 15, 'min_samples_leaf': 1, 'max_features': 'auto', 'max_depth': 3, 'bootstrap': False}",0.5517,0.1667,0.1667,0.3044,0.6906,,0.05,0.07,,,
analcatdata_broadwaymult,FastForest,2,"{'n_estimators': 15, 'min_samples_leaf': 3, 'max_depth': 12}",0.4483,0.2041,0.1193,0.319,0.7389,0.4115,0.54,0.41,,,
analcatdata_broadwaymult,RandomForest,2,"{'n_estimators': 15, 'min_samples_leaf': 1, 'max_features': 'auto', 'max_depth': 3, 'bootstrap': False}",0.3448,0.1429,0.1429,0.1189,0.5423,0.1974,0.07,0.07,,,
analcatdata_broadwaymult,FastForest,3,"{'n_estimators': 5, 'min_samples_leaf': 1, 'max_depth': 12}",0.5517,0.2048,0.1087,0.4211,0.7608,0.3907,0.18,0.1,,,
analcatdata_broadwaymult,RandomForest,3,"{'n_estimators': 15, 'min_samples_leaf': 1, 'max_features': 'auto', 'max_depth': 3, 'bootstrap': False}",0.5172,0.1429,0.1429,0.2675,0.547,0.2177,0.04,0.1,,,
analcatdata_broadwaymult,FastForest,4,"{'n_estimators': 15, 'min_samples_leaf': 3, 'max_depth': 12}",0.4138,,0.1289,0.1986,0.7943,,0.48,0.41,,,
analcatdata_broadwaymult,RandomForest,4,"{'n_estimators': 15, 'min_samples_leaf': 1, 'max_features': 'auto', 'max_depth': 3, 'bootstrap': False}",0.4138,0.1667,0.1667,0.1712,0.5518,,0.1,0.1,,,
analcatdata_broadwaymult,FastForest,5,"{'n_estimators': 15, 'min_samples_leaf': 3, 'max_depth': 12}",0.5172,0.1905,0.1212,0.2962,0.8082,0.5105,0.57,0.41,,,
analcatdata_broadwaymult,RandomForest,5,"{'n_estimators': 15, 'min_samples_leaf': 1, 'max_features': 'auto', 'max_depth': 3, 'bootstrap': False}",0.4828,0.1429,0.1429,0.2331,0.5424,0.3175,0.05,0.07,,,
analcatdata_broadwaymult,FastForest,6,"{'n_estimators': 5, 'min_samples_leaf': 3, 'max_depth': 6}",0.2857,0.1429,0.1429,0.0816,0.7672,0.4821,0.13,0.11,,,
analcatdata_broadwaymult,RandomForest,6,"{'n_estimators': 15, 'min_samples_leaf': 1, 'max_features': 'auto', 'max_depth': 3, 'bootstrap': False}",0.2857,0.1429,0.1429,0.0816,0.5739,0.1783,0.04,0.07,,,
analcatdata_broadwaymult,FastForest,7,"{'n_estimators': 40, 'min_samples_leaf': 1, 'max_depth': 12}",0.3214,0.1429,0.1429,0.1033,0.7381,0.479,1.46,0.96,,,
analcatdata_broadwaymult,RandomForest,7,"{'n_estimators': 15, 'min_samples_leaf': 1, 'max_features': 'auto', 'max_depth': 3, 'bootstrap': False}",0.3214,0.1429,0.1429,0.1033,0.6246,0.1868,0.1,0.11,,,
analcatdata_broadwaymult,FastForest,8,"{'n_estimators': 40, 'min_samples_leaf': 3, 'max_depth': 12}",0.4643,0.2857,0.1144,0.2202,0.8706,0.698,1.42,1.04,,,
analcatdata_broadwaymult,RandomForest,8,"{'n_estimators': 15, 'min_samples_leaf': 1, 'max_features': 'auto', 'max_depth': 3, 'bootstrap': False}",0.3929,0.1429,0.1429,0.1543,0.627,0.2382,0.06,0.07,,,
