Dataset Name,Algorithm Name,Cross Validation,Hyper-Parameters Values,Accuracy,TPR,FPR,Precision,AUC,PR-Curve,Training Time,Inference Time,Unnamed: 12,Unnamed: 13,Unnamed: 14
chess-krvkp,FastForest,3,"{'n_estimators': 40, 'min_samples_leaf': 1, 'max_depth': 12}",0.9656,0.966,0.034,0.9658,0.9915,0.9566,3.98,0.82,,,
chess-krvkp,RandomForest,3,"{'n_estimators': 15, 'min_samples_leaf': 1, 'max_features': 'auto', 'max_depth': 3, 'bootstrap': False}",0.5219,0.5,0.5,0.2724,0.5109,0.5219,0.04,0.02,,,
chess-krvkp,FastForest,4,"{'n_estimators': 40, 'min_samples_leaf': 3, 'max_depth': 12}",0.9656,0.9657,0.0343,0.9657,0.9921,0.9538,4.06,0.84,,,
chess-krvkp,RandomForest,4,"{'n_estimators': 5, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 6, 'bootstrap': False}",0.5219,0.5,0.5,0.2724,0.5283,0.5219,0.01,0.01,,,
chess-krvkp,FastForest,5,"{'n_estimators': 40, 'min_samples_leaf': 1, 'max_depth': 12}",0.9531,0.9526,0.0474,0.9532,0.9827,0.9318,4.09,0.89,,,
chess-krvkp,RandomForest,5,"{'n_estimators': 5, 'min_samples_leaf': 3, 'max_features': 'auto', 'max_depth': 12, 'bootstrap': True}",0.5219,0.5025,0.4975,0.5121,0.5025,0.5231,0.02,0.02,,,
chess-krvkp,FastForest,6,"{'n_estimators': 40, 'min_samples_leaf': 1, 'max_depth': 12}",0.9719,0.9722,0.0278,0.9721,0.9875,0.9652,4.04,0.86,,,
chess-krvkp,RandomForest,6,"{'n_estimators': 15, 'min_samples_leaf': 1, 'max_features': 'auto', 'max_depth': 3, 'bootstrap': False}",0.5219,0.5,0.5,0.2724,0.5153,0.5219,0.05,0.03,,,
chess-krvkp,FastForest,7,"{'n_estimators': 40, 'min_samples_leaf': 1, 'max_depth': 12}",0.953,0.9542,0.0458,0.9545,0.9771,0.9481,3.96,0.84,,,
chess-krvkp,RandomForest,7,"{'n_estimators': 15, 'min_samples_leaf': 1, 'max_features': 'auto', 'max_depth': 3, 'bootstrap': False}",0.5235,0.5,0.5,0.2741,0.5161,0.5235,0.05,0.03,,,
chess-krvkp,FastForest,8,"{'n_estimators': 40, 'min_samples_leaf': 1, 'max_depth': 12}",0.9467,0.9464,0.0536,0.9467,0.9831,0.9262,4.02,0.92,,,
chess-krvkp,RandomForest,8,"{'n_estimators': 15, 'min_samples_leaf': 1, 'max_features': 'auto', 'max_depth': 3, 'bootstrap': False}",0.5235,0.5,0.5,0.2741,0.5248,0.5235,0.05,0.03,,,
chess-krvkp,FastForest,9,"{'n_estimators': 5, 'min_samples_leaf': 1, 'max_depth': 6}",0.9248,0.9237,0.0763,0.9252,0.9641,0.8923,0.39,0.1,,,
chess-krvkp,RandomForest,9,"{'n_estimators': 5, 'min_samples_leaf': 3, 'max_features': 'auto', 'max_depth': 3, 'bootstrap': True}",0.5235,0.5,0.5,0.2741,0.5427,0.5235,0.02,0.02,,,
chess-krvkp,FastForest,10,"{'n_estimators': 5, 'min_samples_leaf': 1, 'max_depth': 6}",0.8652,0.8674,0.1326,0.8711,0.9381,0.8440000000000001,0.37,0.08,,,
chess-krvkp,RandomForest,10,"{'n_estimators': 5, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 3, 'bootstrap': True}",0.5204,0.5,0.5,0.2708,0.5,0.5204,0.02,0.01,,,
chscase_vine1,FastForest,1,"{'n_estimators': 15, 'min_samples_leaf': 3, 'max_depth': 3}",1.0,1.0,0.0,1.0,1.0,1.0,0.12,0.38,,,
chscase_vine1,RandomForest,1,"{'n_estimators': 15, 'min_samples_leaf': 3, 'max_features': 'sqrt', 'max_depth': 6, 'bootstrap': False}",1.0,1.0,0.0,1.0,1.0,1.0,0.42,0.45,,,
chscase_vine1,FastForest,2,"{'n_estimators': 40, 'min_samples_leaf': 3, 'max_depth': 3}",0.5,0.5,0.5,0.5,0.7778,0.5,0.31,0.9,,,
chscase_vine1,RandomForest,2,"{'n_estimators': 40, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 12, 'bootstrap': True}",0.5,0.5,0.5,0.5,0.7778,0.5,1.15,1.06,,,
chscase_vine1,FastForest,3,"{'n_estimators': 15, 'min_samples_leaf': 3, 'max_depth': 6}",0.8,0.8333,0.1667,0.8667,1.0,0.8667,0.15,0.45,,,
chscase_vine1,RandomForest,3,"{'n_estimators': 5, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 6, 'bootstrap': False}",0.8,0.8333,0.1667,0.8667,1.0,0.8667,0.14,0.22,,,
chscase_vine1,FastForest,4,"{'n_estimators': 40, 'min_samples_leaf': 1, 'max_depth': 6}",0.8,0.75,0.25,0.85,1.0,0.75,0.45,1.09,,,
chscase_vine1,RandomForest,4,"{'n_estimators': 5, 'min_samples_leaf': 1, 'max_features': 'auto', 'max_depth': 12, 'bootstrap': True}",1.0,1.0,0.0,1.0,1.0,1.0,0.13,0.24,,,
chscase_vine1,FastForest,5,"{'n_estimators': 5, 'min_samples_leaf': 1, 'max_depth': 3}",1.0,1.0,0.0,1.0,1.0,1.0,0.04,0.17,,,
chscase_vine1,RandomForest,5,"{'n_estimators': 5, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 12, 'bootstrap': True}",0.6,0.5,0.5,0.36,0.75,0.4,0.16,0.23,,,
chscase_vine1,FastForest,6,"{'n_estimators': 5, 'min_samples_leaf': 1, 'max_depth': 6}",0.8,0.75,0.25,0.85,1.0,0.7,0.06,0.2,,,
chscase_vine1,RandomForest,6,"{'n_estimators': 15, 'min_samples_leaf': 3, 'max_features': 'auto', 'max_depth': 3, 'bootstrap': False}",0.8,0.75,0.25,0.85,0.9167,0.7,0.2,0.42,,,
chscase_vine1,FastForest,7,"{'n_estimators': 5, 'min_samples_leaf': 3, 'max_depth': 12}",1.0,1.0,0.0,1.0,1.0,1.0,0.06,0.19,,,
chscase_vine1,RandomForest,7,"{'n_estimators': 5, 'min_samples_leaf': 3, 'max_features': 'auto', 'max_depth': 6, 'bootstrap': True}",0.8,0.75,0.25,0.85,1.0,0.7,0.11,0.22,,,
chscase_vine1,FastForest,8,"{'n_estimators': 5, 'min_samples_leaf': 3, 'max_depth': 6}",0.8,0.8333,0.1667,0.8667,0.8333,0.6667,0.05,0.21,,,
chscase_vine1,RandomForest,8,"{'n_estimators': 5, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 12, 'bootstrap': True}",0.8,0.8333,0.1667,0.8667,0.9167,0.6667,0.15,0.23,,,
chscase_vine1,FastForest,9,"{'n_estimators': 40, 'min_samples_leaf': 3, 'max_depth': 6}",0.6,0.5833,0.4167,0.6,0.8333,0.45,0.38,0.99,,,
chscase_vine1,RandomForest,9,"{'n_estimators': 5, 'min_samples_leaf': 1, 'max_features': 'auto', 'max_depth': 3, 'bootstrap': False}",0.6,0.5833,0.4167,0.6,0.8333,0.45,0.07,0.18,,,
chscase_vine1,FastForest,10,"{'n_estimators': 5, 'min_samples_leaf': 3, 'max_depth': 3}",0.8,0.75,0.25,0.85,1.0,0.7,0.04,0.19,,,
chscase_vine1,RandomForest,10,"{'n_estimators': 5, 'min_samples_leaf': 3, 'max_features': 'auto', 'max_depth': 6, 'bootstrap': False}",0.8,0.8333,0.1667,0.8667,0.6667,0.6667,0.11,0.22,,,
cloud,FastForest,1,"{'n_estimators': 5, 'min_samples_leaf': 1, 'max_depth': 3}",0.8182,0.6667,0.3333,0.8545,0.5,0.5152,0.05,0.13,,,
cloud,RandomForest,1,"{'n_estimators': 40, 'min_samples_leaf': 3, 'max_features': 'auto', 'max_depth': 3, 'bootstrap': True}",0.7273,0.5,0.5,0.5289,0.3542,0.2727,2.14,0.82,,,
cloud,FastForest,2,"{'n_estimators': 15, 'min_samples_leaf': 3, 'max_depth': 6}",0.7273,0.5,0.5,0.5289,0.4167,0.2727,0.27,0.42,,,
cloud,RandomForest,2,"{'n_estimators': 15, 'min_samples_leaf': 1, 'max_features': 'auto', 'max_depth': 3, 'bootstrap': False}",0.8182,0.6667,0.3333,0.8545,0.7292,0.5152,0.66,0.31,,,
cloud,FastForest,3,"{'n_estimators': 5, 'min_samples_leaf': 1, 'max_depth': 3}",0.6364,0.4375,0.5625,0.5091,0.4167,0.2727,0.05,0.13,,,
cloud,RandomForest,3,"{'n_estimators': 5, 'min_samples_leaf': 1, 'max_features': 'auto', 'max_depth': 3, 'bootstrap': False}",0.7273,0.5,0.5,0.5289,0.3125,0.2727,0.16,0.11,,,
cloud,FastForest,4,"{'n_estimators': 40, 'min_samples_leaf': 1, 'max_depth': 6}",0.7273,0.5,0.5,0.5289,0.5,0.2727,0.69,1.08,,,
cloud,RandomForest,4,"{'n_estimators': 15, 'min_samples_leaf': 3, 'max_features': 'auto', 'max_depth': 3, 'bootstrap': True}",0.7273,0.5,0.5,0.5289,0.6042,0.2727,0.66,0.3,,,
cloud,FastForest,5,"{'n_estimators': 40, 'min_samples_leaf': 1, 'max_depth': 3}",0.6364,0.4375,0.5625,0.5091,0.4583,0.2727,0.41,0.8,,,
cloud,RandomForest,5,"{'n_estimators': 5, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 3, 'bootstrap': True}",0.7273,0.6042,0.3958,0.7020000000000001,0.3958,0.3485,0.34,0.14,,,
cloud,FastForest,6,"{'n_estimators': 40, 'min_samples_leaf': 3, 'max_depth': 3}",0.7273,0.5,0.5,0.5289,0.7083,0.2727,0.4,0.8,,,
cloud,RandomForest,6,"{'n_estimators': 15, 'min_samples_leaf': 1, 'max_features': 'auto', 'max_depth': 3, 'bootstrap': False}",0.7273,0.5,0.5,0.5289,0.5833,0.2727,0.64,0.27,,,
cloud,FastForest,7,"{'n_estimators': 15, 'min_samples_leaf': 3, 'max_depth': 6}",0.6364,0.5,0.5,0.405,0.25,0.3636,0.26,0.44,,,
cloud,RandomForest,7,"{'n_estimators': 40, 'min_samples_leaf': 3, 'max_features': 'auto', 'max_depth': 3, 'bootstrap': False}",0.6364,0.5,0.5,0.405,0.3393,0.3636,1.53,0.67,,,
cloud,FastForest,8,"{'n_estimators': 5, 'min_samples_leaf': 3, 'max_depth': 3}",0.6364,0.5,0.5,0.405,0.6964,0.3636,0.05,0.14,,,
cloud,RandomForest,8,"{'n_estimators': 5, 'min_samples_leaf': 3, 'max_features': 'auto', 'max_depth': 6, 'bootstrap': True}",0.6364,0.5,0.5,0.405,0.5893,0.3636,0.54,0.22,,,
cloud,FastForest,9,"{'n_estimators': 5, 'min_samples_leaf': 3, 'max_depth': 3}",0.7,0.5,0.5,0.49,0.2381,0.3,0.05,0.13,,,
cloud,RandomForest,9,"{'n_estimators': 40, 'min_samples_leaf': 1, 'max_features': 'auto', 'max_depth': 3, 'bootstrap': True}",0.7,0.5,0.5,0.49,0.2857,0.3,1.63,0.71,,,
cloud,FastForest,10,"{'n_estimators': 40, 'min_samples_leaf': 1, 'max_depth': 3}",0.6,0.4286,0.5714,0.4667,0.3333,0.3,0.41,0.88,,,
cloud,RandomForest,10,"{'n_estimators': 5, 'min_samples_leaf': 1, 'max_features': 'auto', 'max_depth': 3, 'bootstrap': False}",0.6,0.4286,0.5714,0.4667,0.11900000000000001,0.3,0.27,0.15,,,
congressional-voting,FastForest,1,"{'n_estimators': 40, 'min_samples_leaf': 3, 'max_depth': 12}",0.6364,0.5294,0.4706,0.7717,0.6275,0.4225,2.23,2.32,,,
congressional-voting,RandomForest,1,"{'n_estimators': 15, 'min_samples_leaf': 1, 'max_features': 'auto', 'max_depth': 3, 'bootstrap': False}",0.6136,0.5,0.5,0.3765,0.5,0.3864,0.02,0.06,,,
congressional-voting,FastForest,2,"{'n_estimators': 5, 'min_samples_leaf': 1, 'max_depth': 3}",0.5909,0.4815,0.5185,0.371,0.6874,0.3864,0.13,0.16,,,
congressional-voting,RandomForest,2,"{'n_estimators': 15, 'min_samples_leaf': 1, 'max_features': 'auto', 'max_depth': 3, 'bootstrap': False}",0.6136,0.5,0.5,0.3765,0.5,0.3864,0.02,0.05,,,
congressional-voting,FastForest,3,"{'n_estimators': 15, 'min_samples_leaf': 3, 'max_depth': 3}",0.6136,0.5,0.5,0.3765,0.7538,0.3864,0.37,0.39,,,
congressional-voting,RandomForest,3,"{'n_estimators': 15, 'min_samples_leaf': 1, 'max_features': 'auto', 'max_depth': 3, 'bootstrap': False}",0.6136,0.5,0.5,0.3765,0.5,0.3864,0.02,0.06,,,
congressional-voting,FastForest,4,"{'n_estimators': 40, 'min_samples_leaf': 1, 'max_depth': 12}",0.6364,0.5512,0.4488,0.6252,0.7113,0.4241,2.13,2.4,,,
congressional-voting,RandomForest,4,"{'n_estimators': 15, 'min_samples_leaf': 1, 'max_features': 'auto', 'max_depth': 3, 'bootstrap': False}",0.6136,0.5,0.5,0.3765,0.5,0.3864,0.02,0.05,,,
congressional-voting,FastForest,5,"{'n_estimators': 15, 'min_samples_leaf': 3, 'max_depth': 12}",0.5455,0.4553,0.5447,0.4392,0.4564,0.3754,0.83,1.01,,,
congressional-voting,RandomForest,5,"{'n_estimators': 15, 'min_samples_leaf': 1, 'max_features': 'auto', 'max_depth': 3, 'bootstrap': False}",0.6136,0.5,0.5,0.3765,0.5,0.3864,0.02,0.06,,,
congressional-voting,FastForest,6,"{'n_estimators': 15, 'min_samples_leaf': 1, 'max_depth': 3}",0.6512,0.5588,0.4412,0.7788,0.7919,0.4665,0.36,0.38,,,
congressional-voting,RandomForest,6,"{'n_estimators': 15, 'min_samples_leaf': 1, 'max_features': 'auto', 'max_depth': 3, 'bootstrap': False}",0.6047,0.5,0.5,0.3656,0.5,0.3953,0.02,0.07,,,
congressional-voting,FastForest,7,"{'n_estimators': 5, 'min_samples_leaf': 1, 'max_depth': 3}",0.6279,0.5294,0.4706,0.7697,0.5611,0.4309,0.13,0.16,,,
congressional-voting,RandomForest,7,"{'n_estimators': 15, 'min_samples_leaf': 1, 'max_features': 'auto', 'max_depth': 3, 'bootstrap': False}",0.6047,0.5,0.5,0.3656,0.5,0.3953,0.02,0.05,,,
congressional-voting,FastForest,8,"{'n_estimators': 15, 'min_samples_leaf': 3, 'max_depth': 12}",0.5814,0.491,0.509,0.4946,0.4898,0.3917,0.83,1.0,,,
congressional-voting,RandomForest,8,"{'n_estimators': 15, 'min_samples_leaf': 1, 'max_features': 'auto', 'max_depth': 3, 'bootstrap': False}",0.6047,0.5,0.5,0.3656,0.5,0.3953,0.02,0.06,,,
congressional-voting,FastForest,9,"{'n_estimators': 40, 'min_samples_leaf': 1, 'max_depth': 12}",0.6279,0.5255,0.4745,0.5886,0.6562,0.3881,2.17,2.76,,,
congressional-voting,RandomForest,9,"{'n_estimators': 15, 'min_samples_leaf': 1, 'max_features': 'auto', 'max_depth': 3, 'bootstrap': False}",0.6279,0.5,0.5,0.3943,0.5,0.3721,0.02,0.04,,,
congressional-voting,FastForest,10,"{'n_estimators': 5, 'min_samples_leaf': 1, 'max_depth': 12}",0.5581,0.4572,0.5428,0.4545,0.6134,0.3613,0.26,0.36,,,
congressional-voting,RandomForest,10,"{'n_estimators': 15, 'min_samples_leaf': 1, 'max_features': 'auto', 'max_depth': 3, 'bootstrap': False}",0.6279,0.5,0.5,0.3943,0.5,0.3721,0.02,0.06,,,
conn-bench-sonar-mines-rocks,FastForest,1,"{'n_estimators': 15, 'min_samples_leaf': 1, 'max_depth': 6}",0.7619,0.7591,0.2409,0.7632,0.8273,0.6873,0.67,0.43,,,
conn-bench-sonar-mines-rocks,RandomForest,1,"{'n_estimators': 15, 'min_samples_leaf': 1, 'max_features': 'auto', 'max_depth': 3, 'bootstrap': False}",0.7143,0.7136,0.2864,0.7143,0.8,0.6329,5.85,0.36,,,
conn-bench-sonar-mines-rocks,FastForest,2,"{'n_estimators': 40, 'min_samples_leaf': 3, 'max_depth': 3}",0.7619,0.7545,0.2455,0.7823,0.8727,0.7048,1.05,0.9,,,
conn-bench-sonar-mines-rocks,RandomForest,2,"{'n_estimators': 5, 'min_samples_leaf': 3, 'max_features': 'sqrt', 'max_depth': 3, 'bootstrap': True}",0.619,0.6091,0.3909,0.6317,0.8227,0.5524,1.56,0.15,,,
conn-bench-sonar-mines-rocks,FastForest,3,"{'n_estimators': 5, 'min_samples_leaf': 1, 'max_depth': 3}",0.7143,0.7136,0.2864,0.7143,0.8182,0.6329,0.13,0.15,,,
conn-bench-sonar-mines-rocks,RandomForest,3,"{'n_estimators': 5, 'min_samples_leaf': 1, 'max_features': 'auto', 'max_depth': 3, 'bootstrap': True}",0.9048,0.9045,0.0955,0.9048,0.9545,0.8576,1.83,0.13,,,
conn-bench-sonar-mines-rocks,FastForest,4,"{'n_estimators': 5, 'min_samples_leaf': 1, 'max_depth': 6}",0.8095,0.8,0.2,0.8603,0.7909,0.7905,0.2,0.16,,,
conn-bench-sonar-mines-rocks,RandomForest,4,"{'n_estimators': 5, 'min_samples_leaf': 3, 'max_features': 'auto', 'max_depth': 6, 'bootstrap': False}",0.6667,0.6545,0.3455,0.7083,0.6591,0.6057,2.39,0.18,,,
conn-bench-sonar-mines-rocks,FastForest,5,"{'n_estimators': 15, 'min_samples_leaf': 1, 'max_depth': 3}",0.8095,0.8,0.2,0.8603,0.9273,0.7905,0.4,0.36,,,
conn-bench-sonar-mines-rocks,RandomForest,5,"{'n_estimators': 5, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 3, 'bootstrap': True}",0.8571,0.8545,0.1455,0.8598,0.8636,0.8063,1.56,0.12,,,
conn-bench-sonar-mines-rocks,FastForest,6,"{'n_estimators': 5, 'min_samples_leaf': 3, 'max_depth': 12}",0.7143,0.7045,0.2955,0.746,0.8364,0.6548,0.42,0.25,,,
conn-bench-sonar-mines-rocks,RandomForest,6,"{'n_estimators': 5, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 3, 'bootstrap': True}",0.8095,0.8045,0.1955,0.8196,0.9182,0.7554,1.68,0.1,,,
conn-bench-sonar-mines-rocks,FastForest,7,"{'n_estimators': 5, 'min_samples_leaf': 3, 'max_depth': 12}",0.6667,0.6636,0.3364,0.6667,0.6955,0.5905,0.42,0.27,,,
conn-bench-sonar-mines-rocks,RandomForest,7,"{'n_estimators': 15, 'min_samples_leaf': 1, 'max_features': 'auto', 'max_depth': 3, 'bootstrap': True}",0.7143,0.7045,0.2955,0.746,0.8182,0.6548,5.72,0.3,,,
conn-bench-sonar-mines-rocks,FastForest,8,"{'n_estimators': 5, 'min_samples_leaf': 3, 'max_depth': 6}",0.7143,0.6806,0.3194,0.7357,0.588,0.5937,0.23,0.17,,,
conn-bench-sonar-mines-rocks,RandomForest,8,"{'n_estimators': 5, 'min_samples_leaf': 1, 'max_features': 'auto', 'max_depth': 3, 'bootstrap': True}",0.6667,0.6389,0.3611,0.6667,0.713,0.5344,1.81,0.14,,,
conn-bench-sonar-mines-rocks,FastForest,9,"{'n_estimators': 5, 'min_samples_leaf': 1, 'max_depth': 3}",0.6,0.5758,0.4242,0.6,0.6212,0.5,0.13,0.12,,,
conn-bench-sonar-mines-rocks,RandomForest,9,"{'n_estimators': 15, 'min_samples_leaf': 3, 'max_features': 'sqrt', 'max_depth': 3, 'bootstrap': False}",0.75,0.7323,0.2677,0.7679,0.8283,0.6629999999999999,5.27,0.35,,,
conn-bench-sonar-mines-rocks,FastForest,10,"{'n_estimators': 5, 'min_samples_leaf': 1, 'max_depth': 12}",0.7,0.6768,0.3232,0.7267,0.9091,0.6056,0.41,0.2,,,
conn-bench-sonar-mines-rocks,RandomForest,10,"{'n_estimators': 40, 'min_samples_leaf': 3, 'max_features': 'sqrt', 'max_depth': 3, 'bootstrap': False}",0.7,0.6768,0.3232,0.7267,0.9091,0.6056,13.67,0.81,,,
conn-bench-vowel-deterding,FastForest,1,"{'n_estimators': 40, 'min_samples_leaf': 1, 'max_depth': 12}",0.7879,0.7879,0.0212,0.8042,0.9822,0.9649,3.42,0.8,,,
conn-bench-vowel-deterding,RandomForest,1,"{'n_estimators': 40, 'min_samples_leaf': 3, 'max_features': 'auto', 'max_depth': 12, 'bootstrap': True}",0.7778,0.7778,0.0222,0.8093,0.9654,0.9362,41.84,0.69,,,
conn-bench-vowel-deterding,FastForest,2,"{'n_estimators': 40, 'min_samples_leaf': 1, 'max_depth': 12}",0.8788,0.8788,0.0121,0.9035,0.9881,0.9699,3.48,0.72,,,
conn-bench-vowel-deterding,RandomForest,2,"{'n_estimators': 40, 'min_samples_leaf': 3, 'max_features': 'sqrt', 'max_depth': 12, 'bootstrap': False}",0.7273,0.7273,0.0273,0.7721,0.9625,0.9420000000000001,60.63,0.73,,,
conn-bench-vowel-deterding,FastForest,3,"{'n_estimators': 40, 'min_samples_leaf': 3, 'max_depth': 12}",0.8788,0.8788,0.0121,0.8854,0.9866,0.9684,3.58,0.83,,,
conn-bench-vowel-deterding,RandomForest,3,"{'n_estimators': 40, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 12, 'bootstrap': True}",0.8586,0.8586,0.0141,0.8827,0.9864,0.9675,62.58,0.73,,,
conn-bench-vowel-deterding,FastForest,4,"{'n_estimators': 40, 'min_samples_leaf': 3, 'max_depth': 12}",0.8485,0.8485,0.0152,0.871,0.9797,0.9457,3.59,0.74,,,
conn-bench-vowel-deterding,RandomForest,4,"{'n_estimators': 40, 'min_samples_leaf': 3, 'max_features': 'auto', 'max_depth': 12, 'bootstrap': False}",0.8586,0.8586,0.0141,0.885,0.9814,0.9474,44.21,0.75,,,
conn-bench-vowel-deterding,FastForest,5,"{'n_estimators': 40, 'min_samples_leaf': 3, 'max_depth': 12}",0.8485,0.8485,0.0152,0.8599,0.9789,0.9629,3.7,0.79,,,
conn-bench-vowel-deterding,RandomForest,5,"{'n_estimators': 40, 'min_samples_leaf': 3, 'max_features': 'auto', 'max_depth': 12, 'bootstrap': True}",0.8283,0.8283,0.0172,0.8752,0.9788,0.9091,41.3,0.78,,,
conn-bench-vowel-deterding,FastForest,6,"{'n_estimators': 40, 'min_samples_leaf': 1, 'max_depth': 12}",0.7778,0.7778,0.0222,0.8170000000000001,0.9788,0.9761,3.35,0.73,,,
conn-bench-vowel-deterding,RandomForest,6,"{'n_estimators': 40, 'min_samples_leaf': 3, 'max_features': 'auto', 'max_depth': 12, 'bootstrap': True}",0.7879,0.7879,0.0212,0.8121,0.9724,0.9645,41.28,0.81,,,
conn-bench-vowel-deterding,FastForest,7,"{'n_estimators': 40, 'min_samples_leaf': 3, 'max_depth': 12}",0.8384,0.8384,0.0162,0.8759999999999999,0.9771,0.9922,3.59,0.71,,,
conn-bench-vowel-deterding,RandomForest,7,"{'n_estimators': 40, 'min_samples_leaf': 3, 'max_features': 'auto', 'max_depth': 12, 'bootstrap': True}",0.8283,0.8283,0.0172,0.8475,0.9859,0.9554,44.63,0.75,,,
conn-bench-vowel-deterding,FastForest,8,"{'n_estimators': 40, 'min_samples_leaf': 1, 'max_depth': 12}",0.8889,0.8889,0.0111,0.8994,0.9817,0.9566,3.57,0.78,,,
conn-bench-vowel-deterding,RandomForest,8,"{'n_estimators': 40, 'min_samples_leaf': 3, 'max_features': 'auto', 'max_depth': 12, 'bootstrap': True}",0.7979999999999999,0.7979999999999999,0.0202,0.8173,0.9788,0.9445,42.51,0.75,,,
conn-bench-vowel-deterding,FastForest,9,"{'n_estimators': 40, 'min_samples_leaf': 1, 'max_depth': 12}",0.7576,0.7576,0.0242,0.7868,0.968,0.9894,3.48,0.71,,,
conn-bench-vowel-deterding,RandomForest,9,"{'n_estimators': 40, 'min_samples_leaf': 3, 'max_features': 'sqrt', 'max_depth': 12, 'bootstrap': False}",0.8081,0.8081,0.0192,0.8543,0.9789,0.9742,65.15,0.77,,,
conn-bench-vowel-deterding,FastForest,10,"{'n_estimators': 40, 'min_samples_leaf': 3, 'max_depth': 12}",0.8687,0.8687,0.0131,0.8937,0.988,0.9853,3.56,0.63,,,
conn-bench-vowel-deterding,RandomForest,10,"{'n_estimators': 40, 'min_samples_leaf': 3, 'max_features': 'auto', 'max_depth': 12, 'bootstrap': False}",0.8485,0.8485,0.0152,0.8563,0.9791,0.9684,41.73,0.67,,,
contrac,FastForest,1,"{'n_estimators': 40, 'min_samples_leaf': 3, 'max_depth': 12}",0.5676,0.4918,0.23399999999999999,0.4421,0.7404,0.6328,3.38,1.01,,,
contrac,RandomForest,1,"{'n_estimators': 40, 'min_samples_leaf': 3, 'max_features': 'sqrt', 'max_depth': 3, 'bootstrap': False}",0.5676,0.4942,0.23399999999999999,0.4404,0.7362,0.5727,0.66,0.57,,,
contrac,FastForest,2,"{'n_estimators': 40, 'min_samples_leaf': 1, 'max_depth': 12}",0.473,0.4315,0.2801,0.4979,0.6363,0.4737,3.1,0.87,,,
contrac,RandomForest,2,"{'n_estimators': 40, 'min_samples_leaf': 3, 'max_features': 'auto', 'max_depth': 6, 'bootstrap': True}",0.5,0.4401,0.2645,0.4121,0.6752,0.4571,0.82,0.57,,,
contrac,FastForest,3,"{'n_estimators': 40, 'min_samples_leaf': 1, 'max_depth': 12}",0.5338,0.4665,0.2491,0.4864,0.6963,0.5174,2.98,0.93,,,
contrac,RandomForest,3,"{'n_estimators': 40, 'min_samples_leaf': 3, 'max_features': 'sqrt', 'max_depth': 6, 'bootstrap': False}",0.5068,0.4438,0.2634,0.4141,0.7094,0.5168,1.22,0.57,,,
contrac,FastForest,4,"{'n_estimators': 40, 'min_samples_leaf': 3, 'max_depth': 12}",0.5102,0.4502,0.2624,0.6318,0.6759,0.5044,3.31,0.94,,,
contrac,RandomForest,4,"{'n_estimators': 15, 'min_samples_leaf': 3, 'max_features': 'sqrt', 'max_depth': 12, 'bootstrap': False}",0.483,0.4292,0.2728,0.4086,0.6582,0.4814,0.71,0.23,,,
contrac,FastForest,5,"{'n_estimators': 15, 'min_samples_leaf': 1, 'max_depth': 12}",0.5306,0.455,0.254,0.4177,0.7531,0.597,1.19,0.35,,,
contrac,RandomForest,5,"{'n_estimators': 40, 'min_samples_leaf': 3, 'max_features': 'auto', 'max_depth': 12, 'bootstrap': True}",0.5238,0.4497,0.2555,0.4203,0.7192,0.5415,1.16,0.5,,,
contrac,FastForest,6,"{'n_estimators': 40, 'min_samples_leaf': 3, 'max_depth': 6}",0.4694,0.4062,0.2867,0.3718,0.657,0.5022,2.02,0.79,,,
contrac,RandomForest,6,"{'n_estimators': 40, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 3, 'bootstrap': True}",0.4898,0.4258,0.2743,0.3916,0.6733,0.4912,0.77,0.52,,,
contrac,FastForest,7,"{'n_estimators': 40, 'min_samples_leaf': 1, 'max_depth': 12}",0.5102,0.4392,0.2629,0.4097,0.6838,0.5299,3.03,0.89,,,
contrac,RandomForest,7,"{'n_estimators': 15, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 12, 'bootstrap': False}",0.5238,0.4609,0.249,0.4645,0.6832,0.5212,0.66,0.23,,,
contrac,FastForest,8,"{'n_estimators': 40, 'min_samples_leaf': 3, 'max_depth': 12}",0.4898,0.42700000000000005,0.2728,0.3975,0.6924,0.5196,3.4,0.98,,,
contrac,RandomForest,8,"{'n_estimators': 40, 'min_samples_leaf': 1, 'max_features': 'auto', 'max_depth': 12, 'bootstrap': False}",0.4966,0.4373,0.2659,0.4209,0.6889,0.5335,1.11,0.62,,,
contrac,FastForest,9,"{'n_estimators': 40, 'min_samples_leaf': 1, 'max_depth': 12}",0.4286,0.3728,0.3099,0.4452,0.6441,0.4684,3.26,0.99,,,
